N,N_over_sample_expression,T,checker_absolute_difference,condition_number,d,error_over_sigma2_dk_over_NT,eta1,eta2,exact_rip_delta,factor,factor_value,final_parameter_error,final_relative_squared_error,first_hit_iteration,independent_final_error,initial_parameter_error,initial_relative_squared_error,k,permuted_task_control,route,sample_expression_without_hidden_constant,seed,sigma,sigma2_dk_over_NT,sigma_1_M_star,sigma_k_M_star,truth_factor_balance_residual
800,3472.2222222222213,16,3.3881317890172014e-21,1.0000000000000004,128,1.168857186954512,0.04999999999999999,0.19999999999999996,0.0,d,128,1.870171499127219e-05,7.480685996508875e-05,135,1.8701714991272195e-05,0.24999958504329095,0.9999983401731638,4,False,iteration,0.23040000000000008,8301,0.02,1.6e-05,1.0000000000000002,0.9999999999999999,6.258195259849297e-16
800,3472.2222222222204,16,1.6940658945086007e-20,1.0000000000000007,128,1.1024366343809977,0.04999999999999998,0.19999999999999993,0.0,d,128,1.7638986150095963e-05,7.055594460038385e-05,163,1.763898615009598e-05,0.24999943094856564,0.9999977237942627,4,False,iteration,0.23040000000000013,8302,0.02,1.6e-05,1.0000000000000004,0.9999999999999998,4.790836759406674e-16
800,3472.2222222222213,16,1.3552527156068805e-20,1.0000000000000009,128,1.0406743107759888,0.04999999999999997,0.19999999999999987,0.0,d,128,1.665078897241582e-05,6.660315588966325e-05,139,1.6650788972415806e-05,0.2500024780482366,1.0000099121929467,4,False,iteration,0.23040000000000008,8303,0.02,1.6e-05,1.0000000000000007,0.9999999999999999,7.811603353527228e-16
800,3472.222222222219,16,2.371692252312041e-20,1.0000000000000007,128,1.093376091396551,0.04999999999999999,0.19999999999999996,0.0,d,128,1.7494017462344815e-05,6.997606984937926e-05,143,1.749401746234479e-05,0.2500005354112056,1.0000021416448224,4,False,iteration,0.23040000000000022,8304,0.02,1.6e-05,1.0000000000000002,0.9999999999999996,1.381129097955715e-15
800,3472.222222222218,16,2.0328790734103208e-20,1.0000000000000004,128,1.102269036376179,0.05000000000000001,0.20000000000000004,0.0,d,128,1.7636304582018862e-05,7.054521832807545e-05,143,1.7636304582018883e-05,0.2500041785654429,1.000016714261772,4,False,iteration,0.23040000000000027,8305,0.02,1.6e-05,0.9999999999999999,0.9999999999999994,1.2002858464779593e-15
800,3472.2222222222204,16,3.3881317890172014e-21,1.0000000000000004,128,0.9593808127679573,0.04999999999999999,0.19999999999999996,0.0,d,128,1.5350093004287316e-05,6.140037201714928e-05,128,1.535009300428732e-05,0.2499988948726334,0.9999955794905337,4,False,iteration,0.23040000000000013,8306,0.02,1.6e-05,1.0000000000000002,0.9999999999999998,9.488613005250526e-16
800,1838.2352941176468,16,1.3552527156068805e-20,1.0000000000000004,256,1.086873508182773,0.04999999999999998,0.19999999999999993,0.0,d,256,3.4779952261848734e-05,0.00013911980904739488,272,3.477995226184872e-05,0.24999998829155112,0.9999999531662042,4,False,iteration,0.43520000000000003,8301,0.02,3.2e-05,1.0000000000000004,1.0,1.1549761606830719e-15
800,1838.2352941176464,16,6.776263578034403e-21,1.0000000000000004,256,1.0203314402792694,0.04999999999999999,0.19999999999999996,0.0,d,256,3.265060608893662e-05,0.00013060242435574649,185,3.265060608893663e-05,0.25000089494413524,1.0000035797765408,4,False,iteration,0.43520000000000014,8302,0.02,3.2e-05,1.0000000000000002,0.9999999999999999,8.671790376960543e-16
800,1838.2352941176464,16,1.3552527156068805e-20,1.0000000000000002,256,1.096089852480758,0.05,0.2,0.0,d,256,3.507487527938426e-05,0.00014029950111753707,176,3.5074875279384273e-05,0.24999913217153716,0.9999965286861487,4,False,iteration,0.43520000000000014,8303,0.02,3.2e-05,1.0,0.9999999999999999,9.24931886409846e-16
800,1838.2352941176468,16,0.0,1.0000000000000002,256,1.0934946757525543,0.04999999999999999,0.19999999999999996,0.0,d,256,3.499182962408174e-05,0.00013996731849632692,160,3.499182962408174e-05,0.24999906705943956,0.999996268237758,4,False,iteration,0.43520000000000003,8304,0.02,3.2e-05,1.0000000000000002,1.0,1.359956077188842e-15
800,1838.2352941176468,16,6.776263578034403e-21,1.0000000000000004,256,1.0168340351803602,0.04999999999999998,0.19999999999999993,0.0,d,256,3.253868912577152e-05,0.00013015475650308611,133,3.2538689125771515e-05,0.24999401868833537,0.9999760747533416,4,False,iteration,0.43520000000000003,8305,0.02,3.2e-05,1.0000000000000004,1.0,8.044038980297255e-16
800,1838.2352941176462,16,6.776263578034403e-21,1.0000000000000004,256,0.9933405497878744,0.04999999999999999,0.19999999999999996,0.0,d,256,3.178689759321198e-05,0.00012714759037284797,152,3.178689759321197e-05,0.24999947766388625,0.9999979106555457,4,False,iteration,0.4352000000000002,8306,0.02,3.2e-05,1.0000000000000002,0.9999999999999998,7.099834788047993e-16
