K1_eta1_sigma_k,N,N_over_sample_expression,T,checker_absolute_difference,d,eta1,eta2,exact_rip_delta,factor,factor_value,final_normalized_stacked_distance_squared,final_stacked_distance_squared,initial_normalized_stacked_distance_squared,initial_stacked_distance_squared,k,kappa,permuted_task_control,realized_condition_number,realized_sigma_k_M_star,sample_expression_without_hidden_constants,seed,sigma,sigma_1_M_star,sigma_k,sigma_squared,success
80.0,32,1.2499999999999998,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.09507048023079476,0.7605638418463581,0.9971022419861009,7.976817935888807,4,1.0,False,1.0,1.0,25.600000000000005,8601,0.2,1.0,1.0,0.04000000000000001,False
80.0,32,1.2499999999999998,32,1.1102230246251565e-16,128,0.05,0.2,0.0,sigma_squared,0.04,0.09302699660314236,0.744215972825139,0.9981772226702532,7.9854177813620275,4,1.0,False,1.0,1.0,25.600000000000005,8602,0.2,1.0,1.0,0.04000000000000001,False
80.0,32,1.2499999999999998,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.10542023283257787,0.843361862660623,0.9973183693427953,7.978546954742362,4,1.0,False,1.0,1.0,25.600000000000005,8603,0.2,1.0,1.0,0.04000000000000001,False
80.0,32,1.2499999999999998,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.0964091997857386,0.771273598285909,0.9968945939162273,7.97515675132982,4,1.0,False,1.0,1.0,25.600000000000005,8604,0.2,1.0,1.0,0.04000000000000001,False
80.0,32,1.2499999999999998,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.08659932292699506,0.6927945834159603,0.9969519953735622,7.975615962988496,4,1.0,False,1.0,1.0,25.600000000000005,8605,0.2,1.0,1.0,0.04000000000000001,False
80.0,64,2.4999999999999996,32,5.551115123125783e-17,128,0.05,0.2,0.0,sigma_squared,0.04,0.04722021525248804,0.3777617220199043,0.9971022419861009,7.976817935888807,4,1.0,False,1.0,1.0,25.600000000000005,8601,0.2,1.0,1.0,0.04000000000000001,False
80.0,64,2.4999999999999996,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.04596260521690072,0.36770084173520584,0.9981772226702532,7.9854177813620275,4,1.0,False,1.0,1.0,25.600000000000005,8602,0.2,1.0,1.0,0.04000000000000001,False
80.0,64,2.4999999999999996,32,5.551115123125783e-17,128,0.05,0.2,0.0,sigma_squared,0.04,0.051141990101396875,0.409135920811175,0.9973183693427953,7.978546954742362,4,1.0,False,1.0,1.0,25.600000000000005,8603,0.2,1.0,1.0,0.04000000000000001,False
80.0,64,2.4999999999999996,32,5.551115123125783e-17,128,0.05,0.2,0.0,sigma_squared,0.04,0.04765161687772686,0.38121293502181497,0.9968945939162273,7.97515675132982,4,1.0,False,1.0,1.0,25.600000000000005,8604,0.2,1.0,1.0,0.04000000000000001,False
80.0,64,2.4999999999999996,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.04313795692396711,0.3451036553917368,0.9969519953735622,7.975615962988496,4,1.0,False,1.0,1.0,25.600000000000005,8605,0.2,1.0,1.0,0.04000000000000001,False
80.0,128,4.999999999999999,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.023577558521187023,0.18862046816949618,0.9971022419861009,7.976817935888807,4,1.0,False,1.0,1.0,25.600000000000005,8601,0.2,1.0,1.0,0.04000000000000001,True
80.0,128,4.999999999999999,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.022891941928704817,0.18313553542963856,0.9981772226702532,7.9854177813620275,4,1.0,False,1.0,1.0,25.600000000000005,8602,0.2,1.0,1.0,0.04000000000000001,True
80.0,128,4.999999999999999,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.025118507634012622,0.20094806107210098,0.9973183693427953,7.978546954742362,4,1.0,False,1.0,1.0,25.600000000000005,8603,0.2,1.0,1.0,0.04000000000000001,False
80.0,128,4.999999999999999,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.023690984957363853,0.18952787965891088,0.9968945939162273,7.97515675132982,4,1.0,False,1.0,1.0,25.600000000000005,8604,0.2,1.0,1.0,0.04000000000000001,True
80.0,128,4.999999999999999,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.02162407930563606,0.17299263444508844,0.9969519953735622,7.975615962988496,4,1.0,False,1.0,1.0,25.600000000000005,8605,0.2,1.0,1.0,0.04000000000000001,True
80.0,256,9.999999999999998,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.011793504106522947,0.09434803285218357,0.9971022419861009,7.976817935888807,4,1.0,False,1.0,1.0,25.600000000000005,8601,0.2,1.0,1.0,0.04000000000000001,True
80.0,256,9.999999999999998,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.011437083340815094,0.09149666672652076,0.9981772226702532,7.9854177813620275,4,1.0,False,1.0,1.0,25.600000000000005,8602,0.2,1.0,1.0,0.04000000000000001,True
80.0,256,9.999999999999998,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.012425868725262884,0.09940694980210307,0.9973183693427953,7.978546954742362,4,1.0,False,1.0,1.0,25.600000000000005,8603,0.2,1.0,1.0,0.04000000000000001,True
80.0,256,9.999999999999998,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.011813675558888485,0.09450940447110791,0.9968945939162273,7.97515675132982,4,1.0,False,1.0,1.0,25.600000000000005,8604,0.2,1.0,1.0,0.04000000000000001,True
80.0,256,9.999999999999998,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.010858446936959126,0.08686757549567299,0.9969519953735622,7.975615962988496,4,1.0,False,1.0,1.0,25.600000000000005,8605,0.2,1.0,1.0,0.04000000000000001,True
80.0,512,19.999999999999996,32,6.938893903907228e-18,128,0.05,0.2,0.0,sigma_squared,0.04,0.0059020533348733036,0.04721642667898643,0.9971022419861009,7.976817935888807,4,1.0,False,1.0,1.0,25.600000000000005,8601,0.2,1.0,1.0,0.04000000000000001,True
80.0,512,19.999999999999996,32,6.938893903907228e-18,128,0.05,0.2,0.0,sigma_squared,0.04,0.0057207133857177265,0.04576570708574182,0.9981772226702532,7.9854177813620275,4,1.0,False,1.0,1.0,25.600000000000005,8602,0.2,1.0,1.0,0.04000000000000001,True
80.0,512,19.999999999999996,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.006172394880539894,0.04937915904431915,0.9973183693427953,7.978546954742362,4,1.0,False,1.0,1.0,25.600000000000005,8603,0.2,1.0,1.0,0.04000000000000001,True
80.0,512,19.999999999999996,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.005899664166738492,0.04719731333390795,0.9968945939162273,7.97515675132982,4,1.0,False,1.0,1.0,25.600000000000005,8604,0.2,1.0,1.0,0.04000000000000001,True
80.0,512,19.999999999999996,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.005452257326273767,0.04361805861019013,0.9969519953735622,7.975615962988496,4,1.0,False,1.0,1.0,25.600000000000005,8605,0.2,1.0,1.0,0.04000000000000001,True
80.0,1024,39.99999999999999,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.0029537595572013534,0.023630076457610828,0.9971022419861009,7.976817935888807,4,1.0,False,1.0,1.0,25.600000000000005,8601,0.2,1.0,1.0,0.04000000000000001,True
80.0,1024,39.99999999999999,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.00286242121261334,0.022899369700906724,0.9981772226702532,7.9854177813620275,4,1.0,False,1.0,1.0,25.600000000000005,8602,0.2,1.0,1.0,0.04000000000000001,True
80.0,1024,39.99999999999999,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.0030735072537072207,0.024588058029657765,0.9973183693427953,7.978546954742362,4,1.0,False,1.0,1.0,25.600000000000005,8603,0.2,1.0,1.0,0.04000000000000001,True
80.0,1024,39.99999999999999,32,0.0,128,0.05,0.2,0.0,sigma_squared,0.04,0.0029483416794926784,0.023586733435941434,0.9968945939162273,7.97515675132982,4,1.0,False,1.0,1.0,25.600000000000005,8604,0.2,1.0,1.0,0.04000000000000001,True
