N,N_over_sample_expression,T,checker_absolute_difference,condition_number,d,error_over_sigma2_dk_over_NT,eta1,eta2,exact_rip_delta,factor,factor_value,final_parameter_error,final_relative_squared_error,first_hit_iteration,independent_final_error,initial_parameter_error,initial_relative_squared_error,k,permuted_task_control,route,sample_expression_without_hidden_constant,seed,sigma,sigma2_dk_over_NT,sigma_1_M_star,sigma_k_M_star,truth_factor_balance_residual
800,34.72222222222221,16,2.168404344971009e-19,1.0000000000000004,128,1.1626834781273991,0.04999999999999999,0.19999999999999996,0.0,d,128,0.0018602935650038391,0.007441174260015356,121,0.001860293565003839,0.24999958504329095,0.9999983401731638,4,False,rate,23.04000000000001,8301,0.2,0.0016000000000000003,1.0000000000000002,0.9999999999999999,6.258195259849297e-16
800,34.7222222222222,16,0.0,1.0000000000000007,128,1.1058716612058348,0.04999999999999998,0.19999999999999993,0.0,d,128,0.001769394657929336,0.007077578631717344,137,0.001769394657929336,0.24999943094856564,0.9999977237942627,4,False,rate,23.040000000000017,8302,0.2,0.0016000000000000003,1.0000000000000004,0.9999999999999998,4.790836759406674e-16
800,34.72222222222221,16,0.0,1.0000000000000009,128,1.0435760723472907,0.04999999999999997,0.19999999999999987,0.0,d,128,0.0016697217157556653,0.0066788868630226605,128,0.0016697217157556653,0.2500024780482366,1.0000099121929467,4,False,rate,23.04000000000001,8303,0.2,0.0016000000000000003,1.0000000000000007,0.9999999999999999,7.811603353527228e-16
800,34.72222222222218,16,2.168404344971009e-19,1.0000000000000007,128,1.093463465032566,0.04999999999999999,0.19999999999999996,0.0,d,128,0.001749541544052106,0.006998166176208424,129,0.0017495415440521057,0.2500005354112056,1.0000021416448224,4,False,rate,23.040000000000028,8304,0.2,0.0016000000000000003,1.0000000000000002,0.9999999999999996,1.381129097955715e-15
800,34.72222222222218,16,2.168404344971009e-19,1.0000000000000004,128,1.1013149654856094,0.05000000000000001,0.20000000000000004,0.0,d,128,0.0017621039447769753,0.007048415779107904,126,0.001762103944776975,0.2500041785654429,1.000016714261772,4,False,rate,23.04000000000003,8305,0.2,0.0016000000000000003,0.9999999999999999,0.9999999999999994,1.2002858464779593e-15
800,34.7222222222222,16,0.0,1.0000000000000004,128,0.9632049148055053,0.04999999999999999,0.19999999999999996,0.0,d,128,0.0015411278636888088,0.006164511454755237,117,0.0015411278636888088,0.2499988948726334,0.9999955794905337,4,False,rate,23.040000000000017,8306,0.2,0.0016000000000000003,1.0000000000000002,0.9999999999999998,9.488613005250526e-16
800,18.382352941176467,16,0.0,1.0000000000000004,256,1.0843558082615192,0.04999999999999998,0.19999999999999993,0.0,d,256,0.003469938586436862,0.013879754345747439,161,0.003469938586436862,0.24999998829155112,0.9999999531662042,4,False,rate,43.52000000000001,8301,0.2,0.0032000000000000006,1.0000000000000004,1.0,1.1549761606830719e-15
800,18.382352941176464,16,4.336808689942018e-19,1.0000000000000004,256,1.0219917687380853,0.04999999999999999,0.19999999999999996,0.0,d,256,0.0032703736599618734,0.013081494639847495,159,0.003270373659961874,0.25000089494413524,1.0000035797765408,4,False,rate,43.52000000000002,8302,0.2,0.0032000000000000006,1.0000000000000002,0.9999999999999999,8.671790376960543e-16
800,18.382352941176464,16,8.673617379884035e-19,1.0000000000000002,256,1.0957149057741637,0.05,0.2,0.0,d,256,0.003506287698477325,0.014025150793909305,146,0.0035062876984773257,0.24999913217153716,0.9999965286861487,4,False,rate,43.52000000000002,8303,0.2,0.0032000000000000006,1.0,0.9999999999999999,9.24931886409846e-16
800,18.382352941176467,16,4.336808689942018e-19,1.0000000000000002,256,1.0929060035304317,0.04999999999999999,0.19999999999999996,0.0,d,256,0.003497299211297382,0.01398919684518952,149,0.0034972992112973825,0.24999906705943956,0.999996268237758,4,False,rate,43.52000000000001,8304,0.2,0.0032000000000000006,1.0000000000000002,1.0,1.359956077188842e-15
800,18.382352941176467,16,4.336808689942018e-19,1.0000000000000004,256,1.0177384817288424,0.04999999999999998,0.19999999999999993,0.0,d,256,0.0032567631415322965,0.013027052566129184,117,0.003256763141532296,0.24999401868833537,0.9999760747533416,4,False,rate,43.52000000000001,8305,0.2,0.0032000000000000006,1.0000000000000004,1.0,8.044038980297255e-16
